,edad,distancia,genero,edoCivil,dependientes,estudios,extroversion,empatia,responsabilidad,neuroticismo,creatividad,matematica,outcome
0,15647.146301019147,2.5592932539219637,1.0,0.0,3.0,1.0,0.5977275359839432,0.1686744321757685,0.8357140728379364,0.8104332956999908,0.5223413341609946,0.2844822676003014,True
1,51292.07395466161,13.40898428847667,1.0,0.0,0.0,0.0,0.9710933108051272,0.9325727833811881,0.2847714729585594,0.557558038158527,0.5082800736117479,0.16302671916403913,True
2,39067.46954791471,10.657133153094211,1.0,0.0,3.0,0.0,0.44626755856693606,0.3956040773343204,0.9030531414398324,0.137156377084743,0.5023249502021747,0.415134708686688,True
3,8448.53170807665,8.490912729228917,0.0,1.0,4.0,3.0,0.792698706510444,0.9400740525705679,0.466501763844452,0.2454183381648734,0.10644504182437331,0.9299771020777373,True
4,24323.70318818842,6.9769919902240565,1.0,0.0,0.0,1.0,0.3160347776885729,0.17106770365818585,0.607252983443408,0.2015153718384743,0.756056338607632,0.7832392699386473,True
5,62485.207741075,11.224910230700946,1.0,0.0,3.0,2.0,0.6722179469532042,0.2088416014831524,0.6155082818731316,0.10870347451060791,0.42641844078884295,0.3807872229092433,True
6,-7301.5485525639815,8.446024666728205,1.0,1.0,4.0,2.0,0.7632258784708226,0.642686745916523,0.359702254647336,0.0852350691079608,0.8151155847916536,0.1694425135443713,True
7,26885.232638698668,8.003398006505265,0.0,0.0,2.0,1.0,0.2684257086276258,0.43186872701697343,0.5062003963625238,0.21939602944771724,0.15498770476339407,0.6488007982508731,True
8,55888.33422709845,8.962301245888966,1.0,0.0,3.0,1.0,0.6433829282750696,0.45560878166690055,0.20270958270000083,0.23745658671462683,0.7486443801992809,0.10728172759465329,True
9,19392.904866238445,15.558112436079684,0.0,0.0,3.0,1.0,0.7386431882590768,0.7550532690329548,0.9421380539286655,0.7642193327030724,0.6359454868609359,0.12226788548496335,True
10,22607.560730367593,11.06420717641945,1.0,0.0,1.0,1.0,0.009136644801485128,0.5537779346789613,0.6845060421809258,0.80138986547666,0.3566236544133349,0.4752456254787947,True
11,32604.29276906745,10.344759622591218,1.0,0.0,3.0,1.0,0.6787383297715909,0.6034628552884984,0.16225664218104707,0.41856631292882923,0.7101853523884717,0.25005666805125215,True
12,59746.404977051876,16.912893958872047,0.0,0.0,2.0,2.0,0.7836363004262645,0.3704980469374959,0.9272664245548954,0.9490138458556135,0.9531048652067701,0.8666633066715089,True
13,23291.78958173391,8.659257735513359,1.0,0.0,3.0,0.0,0.47029913082020147,0.550731216402712,0.9860789011607832,0.6157200127283848,0.7575186485128339,0.24385381395805555,True
14,26627.358715556704,17.164187833363204,1.0,1.0,3.0,3.0,0.6215571413541378,0.2156496871482086,0.443618633905104,0.6116120505282532,0.5965452124059241,0.7686414244956598,True
15,26792.163795978122,6.620938520463637,1.0,1.0,1.0,0.0,0.8848228717397595,0.13223710572679104,0.6198882106568719,0.5359247987256655,0.9533278403799851,0.9166881616980835,True
16,71973.97854063936,12.655744566797278,1.0,0.0,1.0,0.0,0.5067726767817622,0.8117590235975752,0.9010578669938341,0.9232225732014397,0.36647941141478657,0.10592263270959285,True
17,71646.37694756393,8.384483552870996,1.0,0.0,2.0,1.0,0.5892142205881817,0.7131965046999373,0.3519229788978633,0.846245728762905,0.7304023624672545,0.0004775031261057133,True
18,51406.872327452285,9.657518617750641,0.0,0.0,1.0,1.0,0.41730906262109546,0.6439679350748462,0.836138948006045,0.28583518578726075,0.8583265462294172,0.4449948886878857,True
19,40833.614755879724,6.783803821206938,1.0,0.0,2.0,1.0,0.6300585287992598,0.3998823559748244,0.7507781715165638,0.19206191728033162,0.4392010805220489,0.8735754779251156,True
20,46843.219755024445,8.52306644353369,1.0,1.0,4.0,1.0,0.9138090800280741,0.09823374237024107,0.73748084348363,0.8830979342884013,0.33604389061581597,0.16302661975433658,True
21,59735.151831730545,6.49704561998095,1.0,1.0,4.0,2.0,0.21440475150445387,0.19064594551515446,0.15653308105221148,0.97239677479684,0.7094264167464112,0.29528472868518263,True
22,18210.542926964077,12.014258997830463,1.0,0.0,0.0,1.0,0.5353283491706513,0.6954768350833193,0.2010986600557753,0.3054195557881478,0.7081199653980329,0.8416702105959665,True
23,54346.374528833745,5.876159258940847,1.0,0.0,5.0,0.0,0.3555563153447289,0.7585302398286169,0.6539784953271479,0.8039764022484471,0.7368676857787723,0.06258479624880428,True
24,12767.967073145024,12.682788575783258,1.0,1.0,2.0,1.0,0.6488844060342711,0.5778890467198721,0.29671296160458144,0.7156964539575094,0.8258105743533732,0.7895895744679796,True
25,23311.477414266017,21.73532932754775,0.0,0.0,2.0,1.0,0.49368802031435666,0.8721774135538427,0.4894936229846336,0.45928866873934954,0.04208266921193016,0.1166610987117612,True
26,49747.837663132654,2.2247935339193,0.0,1.0,2.0,2.0,0.15854846922110655,0.9580284713925664,0.7593684163352588,0.1563176348344248,0.15403225976255297,0.1174389934786645,True
27,9776.701517383106,-1.860606888193237,1.0,0.0,3.0,2.0,0.5498565746196933,0.6298186513125892,0.2664083122917219,0.3456232879320892,0.8346892409461109,0.5979482221098639,True
28,31828.07402577145,5.059022351840025,1.0,1.0,1.0,2.0,0.7173403341601347,0.10795459627813525,0.8496856511106783,0.4588298366219955,0.4421231151440687,0.36493380760810956,True
29,19478.219344601133,13.716483995913766,0.0,1.0,4.0,3.0,0.39398476174629865,0.02414463977739406,0.632998743528476,0.33067706196445895,0.5260741567558539,0.08025607012654434,True
30,29850.713521795158,6.444199991458145,1.0,0.0,4.0,1.0,0.5654661989999273,0.39910680795652,0.20258420847210706,0.6478413134030745,0.9632851531594858,0.3466428897429922,True
31,-13665.856067196648,12.887405438419336,1.0,0.0,1.0,2.0,0.6285908756263868,0.6853675646972813,0.42740271240699207,0.6968691977096411,0.39590010916462814,0.09040552527607289,True
32,3909.6397490752424,14.74610624908533,0.0,0.0,3.0,1.0,0.7593335127082128,0.859235655510685,0.8432690250972159,0.8636590801527433,0.39764420770108916,0.16514429240384929,True
33,22248.35082294314,8.744609413018015,1.0,0.0,2.0,1.0,0.430599200536513,0.2322786872165135,0.46991202130105236,0.22002328688473038,0.5602113830141973,0.4773124313757402,True
34,50096.200863468745,14.423841254991544,0.0,0.0,2.0,1.0,0.3822110431716255,0.8580451430154303,0.21837547164522175,0.9237078035477602,0.41741084689083763,0.14765566020369844,True
35,31253.659378252432,-1.3475088666807,1.0,0.0,4.0,2.0,0.42632710548389663,0.6699149535874818,0.013274055490680836,0.856100686608323,0.9144132687198251,0.5550024870930299,True
36,34273.70073578418,14.172663654876036,1.0,0.0,4.0,1.0,0.056014527854780116,0.5328223132959592,0.4090882055004944,0.3997199704339503,0.6739383442599286,0.32580102027041413,True
37,46002.21114373785,13.99651686629553,0.0,1.0,4.0,1.0,0.5256073306788553,0.07465498890633293,0.052014389413822026,0.8353195698641184,0.04609813198416801,0.3868433368088877,True
38,19173.934330257598,9.502835691049286,0.0,0.0,3.0,0.0,0.20953576013077274,0.22265321608298422,0.14528374171187136,0.5447517780518196,0.31855107407189476,0.2025270146203169,True
39,39078.57257865227,15.017682813234746,0.0,1.0,2.0,3.0,0.5700527067397863,0.8117410978895626,0.48593645935934704,0.6008093086137599,0.7987273156456691,0.4221645991538757,True
40,20443.16545960215,17.204814422898377,1.0,1.0,2.0,2.0,0.6800795198890798,0.15959187613525705,0.11698723880762318,0.13895101907213298,0.8743855530610736,0.21107099073196464,True
41,4660.255781861109,19.664102909357478,1.0,1.0,1.0,1.0,0.1803716715630141,0.040471926782528644,0.8672830032676696,0.629267265205649,0.8519169949925249,0.811331869088482,True
42,27535.727279365834,19.70624647782042,1.0,0.0,4.0,1.0,0.3212566260244487,0.25928136379478617,0.6994059552616201,0.7010298971417543,0.848090783693193,0.3906632428283979,True
43,44044.252820406546,10.277627646578111,1.0,0.0,3.0,1.0,0.5103437060818579,0.5651108216162538,0.36250441578884607,0.46562185562998526,0.8402101243987173,0.0644180923815563,True
44,40019.1051352341,9.293914001629481,0.0,0.0,4.0,4.0,0.7574166585764563,0.6498873529131085,0.2497263132251204,0.8347278691106843,0.47663753361673505,0.38804601337016353,True
45,34022.550663231195,9.60949356998218,1.0,0.0,0.0,0.0,0.6691850590595256,0.22068366513065363,0.5889547488287379,0.4621609899721236,0.916589944661343,0.40369081712691035,True
46,75164.35061335933,-3.372451451515568,1.0,0.0,3.0,1.0,0.6247551197637142,0.5410958439894578,0.19488932379199164,0.16529803976330631,0.13415901449953083,0.537069029667314,True
47,41290.959343283976,13.49078390485316,1.0,1.0,4.0,1.0,0.5480002312772746,0.13822742587616366,0.9955930233178061,0.0701713536968045,0.6971859738782784,0.06744735076586916,True
48,50973.61990160284,21.74677847283939,1.0,1.0,2.0,0.0,0.5413347346721323,0.34320344102908074,0.3368628391909841,0.7996580758289511,0.7430898720990022,0.3488062205419783,True
49,72525.22788004621,12.829167744307007,0.0,0.0,1.0,1.0,0.6065152085463531,0.2201310553930843,0.17926362840770493,0.7428511586033858,0.293005457977833,0.27737058437619816,True
50,12079.96490740313,2.892605775205861,1.0,0.0,4.0,2.0,0.21342940419547973,0.05182777941622113,0.19062698155561425,0.33972739134971486,0.6936967382569769,0.02120416023239126,True
51,16448.736752867735,5.026541512787816,1.0,1.0,2.0,0.0,0.6801762694570032,0.7483587754418773,0.7049348156616321,0.8115154537752856,0.9481283536418682,0.10288491875166776,True
52,64064.27545241615,5.3078713229172605,1.0,0.0,1.0,1.0,0.4880972739157752,0.42289692410596047,0.6877251852203088,0.7637669299353497,0.6104772404456926,0.24790064449218205,True
53,20568.15144318732,18.285259906725294,1.0,0.0,2.0,0.0,0.9725832156694544,0.11501942486432004,0.911927626673998,0.5391837664695255,0.6013841784587899,0.03781771182669637,True
54,34732.95427856574,12.511969096250187,1.0,0.0,0.0,0.0,0.8391796817182059,0.706004546579095,0.8493201254747744,0.805288696539706,0.0877502313780576,0.8799847426350241,True
55,52523.66952677417,13.190643169625774,1.0,1.0,3.0,1.0,0.11511460263773626,0.4121396895321181,0.053172828628239244,0.7579259171596437,0.5380128532889844,0.23350144139457799,True
56,49467.21312100439,11.767648569575895,0.0,0.0,2.0,2.0,0.2683480384684755,0.10190695470752581,0.40753809161822313,0.41799375464142285,0.22091811135040285,0.49890206416857286,True
57,64255.48978915173,4.442606351656541,1.0,0.0,3.0,0.0,0.11018232872950989,0.005278271420600722,0.2782144341542141,0.507441448296127,0.5423284981028949,0.5258573800878068,True
58,59819.21029498524,5.2804464573260645,0.0,0.0,1.0,1.0,0.40885757949718815,0.9489612370044243,0.2111561469451203,0.5656368292535623,0.42878841580052307,0.6937962048843302,True
59,52524.98206033942,13.40369242398296,1.0,0.0,4.0,1.0,0.4281397561755744,0.14596217264924072,0.3565343721777098,0.586940326078233,0.17615137128730796,0.6354820161768738,True
60,21002.022127444936,10.431057736074639,1.0,0.0,3.0,3.0,0.14955121259102527,0.2467792293868472,0.01639112831234013,0.48983560857578323,0.1689768738220403,0.32734721708807535,True
61,47827.08740261145,0.7095079032077347,1.0,0.0,1.0,1.0,0.9233668729681888,0.4005410464458639,0.9324949597959753,0.592634242874978,0.3623667090252272,0.14778664811057227,True
62,39602.97950599877,13.9301349852465,1.0,0.0,2.0,1.0,0.20005198987907002,0.9268809263546121,0.9239529000875961,0.37628538094891983,0.24276234361942084,0.2985059543118151,True
